county,staff_flu_vaccination_rate
Albany,0.8045454545454546
Allegany,0.7125
Bronx,0.7395555555555555
Broome,0.8045454545454546
Cattaraugus,0.856
Cayuga,0.6950000000000001
Chautauqua,0.9114285714285714
Chemung,0.6525
Chenango,0.928
Clinton,0.9775
Columbia,0.866
Cortland,0.9733333333333333
Delaware,0.5866666666666667
Dutchess,0.5607692307692308
Erie,0.7745714285714286
Essex,0.9299999999999999
Franklin,0.49
Fulton,0.9433333333333334
Genesee,0.9475
Greene,0.975
Herkimer,0.9475
Jefferson,0.9366666666666666
Kings,0.761
Lewis,0
Livingston,0.92
Madison,0.9266666666666666
Monroe,0.7381818181818182
Montgomery,0.94
Nassau,0.8283783783783784
New York,0.8452941176470589
Niagara,0.775
Oneida,0.7329411764705882
Onondaga,0.825
Ontario,0.7716666666666666
Orange,0.862
Orleans,0.9333333333333333
Oswego,0.725
Otsego,0.9366666666666666
Putnam,0.7949999999999999
Queens,0.7761016949152543
Rensselaer,0.8788888888888889
Richmond,0.857
Rockland,0.6981818181818182
Saint Lawrence,0.968
Saratoga,0.91
Schenectady,0.8883333333333333
Schuyler,0.89
Seneca,0.95
Steuben,0.9183333333333333
Suffolk,0.8495238095238096
Sullivan,0.8674999999999999
Tioga,0.8500000000000001
Tompkins,0.65
Ulster,0.8514285714285714
Warren,0.9375
Washington,0.87
Wayne,0.675
Westchester,0.7672727272727272
Wyoming,0.885
Yates,0.985
