county,election_result
Albany,D
Allegany,R
Bronx,D
Broome,R
Cattaraugus,R
Cayuga,R
Chautauqua,R
Chemung,R
Chenango,R
Clinton,R
Columbia,D
Cortland,R
Delaware,R
Dutchess,R
Erie,D
Essex,R
Franklin,R
Fulton,R
Genesee,R
Greene,R
Hamilton,R
Herkimer,R
Jefferson,R
Kings,D
Lewis,R
Livingston,R
Madison,R
Monroe,D
Montgomery,R
Nassau,D
New,D
Niagara,R
Oneida,R
Onondaga,D
Ontario,R
Orange,R
Orleans,R
Oswego,R
Otsego,R
Putnam,R
Queens,D
Rensselaer,R
Richmond,R
Rockland,R
St,R
Saratoga,R
Schenectady,D
Schoharie,R
Schuyler,R
Seneca,R
Steuben,R
Suffolk,R
Sullivan,R
Tioga,R
Tompkins,D
Ulster,D
Warren,R
Washington,R
Wayne,R
Westchester,D
Wyoming,R
Yates,R
